,Iteration,Energy,Noise,Gradient,Time
0,0.0,-75.47034421,0.00223,0.17563349,1452.86
1,1.0,-75.5834869,0.00108,0.0744256,2279.72
2,2.0,-75.60492703,0.000989,0.05348248,3736.64
3,3.0,-75.61359479,0.000924,0.03843194,5195.87
4,4.0,-75.61937372,0.000853,0.03732862,6653.94
5,5.0,-75.6232885,0.000768,0.03423677,8111.8
6,6.0,-75.62560124,0.000736,0.03298796,9568.51
7,7.0,-75.62737812,0.000877,0.03816026,11025.7
8,8.0,-75.6271743,0.000714,0.0288648,12484.46
9,9.0,-75.62789601,0.000906,0.05274609,13944.0
10,10.0,-75.62787474,0.000727,0.0507261,15400.73
11,11.0,-75.6280615,0.0007,0.02738264,16863.3
12,12.0,-75.62830747,0.000781,0.03504388,18321.45
13,13.0,-75.62858871,0.000726,0.03538562,19779.57
14,14.0,-75.62873491,0.000746,0.02830562,21238.28
15,15.0,-75.62877729,0.000691,0.03280352,22696.33
16,16.0,-75.62848065,0.000748,0.06247721,24155.62
17,17.0,-75.62926371,0.000732,0.03835243,25614.46
18,18.0,-75.62866578,0.000709,0.03445772,27073.45
19,19.0,-75.6287331,0.000709,0.043733,28532.37
20,20.0,-75.6289449,0.000748,0.03831369,29991.55
21,21.0,-75.62871284,0.000701,0.03680791,31449.98
22,22.0,-75.62970226,0.000718,0.03783106,32908.58
23,23.0,-75.62852832,0.000703,0.03697573,34370.42
24,24.0,-75.6294365,0.000846,0.06814144,35829.83
25,25.0,-75.62876522,0.000696,0.04663457,37288.32
26,26.0,-75.62858085,0.000709,0.04746339,38746.86
27,27.0,-75.629103,0.000694,0.03713669,40206.1
28,28.0,-75.62910786,0.00081,0.03970304,41665.41
29,29.0,-75.62963186,0.000934,0.04511118,43124.19
30,30.0,-75.6294667,0.000701,0.03906783,44585.22
31,31.0,-75.6297478,0.000733,0.05628184,46044.63
32,32.0,-75.62933947,0.000735,0.05034884,47503.32
33,33.0,-75.63000158,0.000707,0.05648737,48963.84
34,34.0,-75.62919389,0.000692,0.03036124,50423.12
35,35.0,-75.62956238,0.000727,0.03613729,51881.62
36,36.0,-75.63007173,0.000722,0.0541416,53340.69
37,37.0,-75.63003911,0.000745,0.05256075,54800.67
38,38.0,-75.62971338,0.000706,0.04048895,56257.72
39,39.0,-75.62957924,0.000705,0.05053264,57717.58
40,40.0,-75.62927172,0.000822,0.06081549,59176.3
41,41.0,-75.62954385,0.000731,0.06358026,60634.31
42,42.0,-75.62994372,0.000785,0.04663103,62094.19
43,43.0,-75.62991523,0.000681,0.04281369,63553.46
44,44.0,-75.62960492,0.000749,0.04210099,65011.59
45,45.0,-75.62966941,0.000681,0.0343595,66470.51
46,46.0,-75.63000837,0.000719,0.0302431,67931.15
47,47.0,-75.62986911,0.000683,0.05442007,69389.41
48,48.0,-75.62964473,0.000684,0.03903171,70847.47
49,49.0,-75.63010558,0.000721,0.03517306,72306.97
